.AXJO,.FTMIB,SIc1,USFFTARGET=,.HSI,IT10YT=RR,.BVSP,EURIBOR3MD=,USD3MFSR=X,.GSPTSE,.FTSES,US5YT=RR,.GDAXI,JPPRIME=,US2YT=RR,USDISC=,JP10YT=RR,.VIX,.SPX,GBBASE=,GBP=,CAD=,CA10YT=RR,.FCHI,NZD=,AUD=,.STOXX50,EU10YT=RR,US30YT=RR,.IBEX,CHF=,HGc1,.NDX,.IXIC,PLc1,GB10YT=RR,.DJI,FR10YT=RR,JPY=,.FTSE,EUR=,GCc1,TED,.TRXFLDUSP,CLc1,US10YT=RR
4551,20938.24,15.431,0.25,19550.89,4.089,64718.17,0.661,0.25,11115.3,5092.33,2.31,5484.85,1.65,0.827,0.5,1.347,26,1070.52,0.5,1.5597,1.0753,3.347,3607.27,0.6832,0.8646,2398.57,3.148,4.576,10206.3,1.073,2.9835,1753.84,2150.87,1498.6,3.951,10058.64,3.51,89.3,5092.33,1.3652,1076.7,20,95.57,73.75,3.641
4513.4,20818.97,15.302,0.25,19790.28,4.065,65051.42,0.661,0.25,11274.24,5111.84,2.361,5498.26,1.65,0.879,0.5,1.334,25.4,1068.13,0.5,1.5704,1.0674,3.384,3612.76,0.6948,0.8778,2397.77,3.208,4.636,10275.4,1.0641,2.986,1749.76,2147.87,1509.1,3.978,10038.38,3.502,89.65,5111.84,1.3789,1075.8,19,96.85,74.52,3.69
4570.7,21241.63,15.592,0.25,19922.22,4.023,66128.94,0.662,0.25,11286.33,5131.99,2.366,5536.37,1.65,0.871,0.5,1.333,23.96,1078.47,0.5,1.5581,1.0628,3.436,3635.61,0.6925,0.875,2415.97,3.208,4.674,10455,1.0681,3.1295,1775.74,2177.41,1515.5,3.931,10144.19,3.524,89.97,5131.99,1.3726,1094.2,18,96.73,75.28,3.721
4565.3,21076.45,15.449,0.25,20290.69,4.043,65854.97,0.662,0.25,11435.49,5161.48,2.332,5503.93,1.65,0.831,0.5,1.332,22.73,1075.51,0.5,1.5693,1.0506,3.464,3616.75,0.7015,0.8909,2424.54,3.236,4.656,10281.7,1.0706,3.079,1779.11,2183.53,1507.3,4.036,10099.14,3.54,89.72,5161.48,1.3681,1089.5,19,97.75,74.13,3.695
4593.3,21035.91,16.15,0.25,20268.69,4.044,67284.56,0.663,0.25,11469.81,5142.45,2.309,5500.39,1.65,0.806,0.5,1.331,22.25,1094.87,0.5,1.5688,1.051,3.458,3599.07,0.6964,0.8873,2421.81,3.192,4.635,10224.9,1.0763,3.2185,1802.06,2214.19,1533.9,4.034,10268.81,3.501,90.02,5142.45,1.3615,1119.3,19,97.62,77.01,3.663
4568.7,21122.47,16.098,0.25,20534.01,4.058,67836.08,0.661,0.25,11586.37,5167.47,2.386,5511.1,1.65,0.855,0.5,1.331,21.72,1099.51,0.5,1.5656,1.0488,3.448,3609.22,0.6972,0.889,2436.66,3.199,4.699,10293.6,1.0774,3.2385,1810.86,2226.29,1533.3,4.059,10309.24,3.524,89.98,5167.47,1.3598,1119.5,18,97.62,77.33,3.738
4598.2,21289.2,16.06,0.25,20422.15,4.05,67597.43,0.663,0.25,11635.49,5244.06,2.478,5592.12,1.65,0.928,0.75,1.323,20.63,1106.75,0.5,1.5785,1.044,3.473,3669.04,0.7071,0.9019,2465.46,3.203,4.734,10393.9,1.0661,3.285,1823.39,2241.71,1515.8,4.038,10392.9,3.531,90.1,5244.06,1.3768,1118,18,99.31,79.06,3.807
4672.9,21650.81,16.413,0.25,19894.02,4.026,67184.16,0.662,0.25063,11694.84,5276.64,2.453,5648.34,1.65,0.92,0.75,1.34,20.02,1109.17,0.5,1.567,1.0458,3.495,3725.21,0.7034,0.8997,2494.62,3.194,4.705,10498.6,1.0782,3.357,1823.32,2243.87,1539.8,4.132,10402.35,3.51,91.36,5276.64,1.3605,1121.3,20,99.73,79.81,3.776
4673.1,21686.12,16.222,0.25,20377.27,4.054,66108.33,0.66,0.25125,11709.29,5325.09,2.446,5680.41,1.65,0.887,0.75,1.348,19.94,1108.01,0.5,1.5626,1.0413,3.497,3747.83,0.7058,0.9018,2510.99,3.252,4.729,10574.2,1.0771,3.3065,1817.63,2242.03,1528.1,4.203,10383.38,3.545,91.22,5325.09,1.3614,1112.6,18,100.37,80.16,3.796
4672.2,21772.33,15.888,0.25,20623,4.084,65794.77,0.661,0.25194,11634.75,5358.17,2.349,5722.05,1.65,0.838,0.75,1.338,21.37,1094.6,0.5,1.5472,1.0397,3.508,3769.54,0.699,0.8985,2522.34,3.289,4.634,10676.7,1.0755,3.214,1793.82,2213.44,1506.3,4.276,10282.41,3.57,91.59,5358.17,1.3615,1102.7,19,100.59,78.86,3.689
